2026-02-21 22:54:17 | PRICE    | ACVA   | $   6.66 | News: Feb 21  10:03 PM ET    | KW: none                           | ACV Auctions (ACVA) Reports Earnings Tomorrow: What To Expect | ACV Auctions (ACVA) Reports Earnings Tomorrow: What To ExpectACVAStockStory
2026-02-21 23:17:54 | PRICE    | NNVC   | $   1.02 | News: Feb 21  11:17 AM ET    | KW: none                           | NanoViricides CEO discusses progress of broad-spectrum antiviral candidate NV-38 | NanoViricides CEO discusses progress of broad-spectrum antiviral candidate NV-387 - ICYMINNVCProactive
2026-02-21 23:17:54 | PRICE    | BTG    | $   5.39 | News: Feb 21  11:17 AM ET    | KW: none                           | B2Gold (BTG) Climbs 5.27% on Return to Profitability | B2Gold (BTG) Climbs 5.27% on Return to ProfitabilityBTGInsider Monkey
2026-02-21 23:17:54 | PRICE    | OPEN   | $   5.00 | News: Feb 21  11:17 AM ET    | KW: none                           | Opendoor Technologies (OPEN) Climbs 7.5% on Upbeat Outlook | Opendoor Technologies (OPEN) Climbs 7.5% on Upbeat OutlookOPENInsider Monkey
2026-02-21 23:17:54 | PRICE    | NXDR   | $   1.67 | News: Feb 21  02:17 PM ET    | KW: none                           | AI isn't just 'another transition' for software: Nextdoor CEO | AI isn't just 'another transition' for software: Nextdoor CEONXDRYahoo Finance Video
2026-02-21 23:17:54 | PRICE    | OPAD   | $   0.82 | News: Feb 21  10:17 PM ET    | KW: none                           | Earnings To Watch: Offerpad (OPAD) Reports Q4 Results Tomorrow | Earnings To Watch: Offerpad (OPAD) Reports Q4 Results TomorrowOPADStockStory
2026-02-21 23:17:54 | PRICE    | MAX    | $   7.84 | News: Feb 21  10:17 PM ET    | KW: none                           | MediaAlpha (MAX) Q4 Earnings Report Preview: What To Look For | MediaAlpha (MAX) Q4 Earnings Report Preview: What To Look ForMAXStockStory
2026-02-21 23:17:54 | PRICE    | ACVA   | $   6.66 | News: Feb 21  10:17 PM ET    | KW: none                           | ACV Auctions (ACVA) Reports Earnings Tomorrow: What To Expect | ACV Auctions (ACVA) Reports Earnings Tomorrow: What To ExpectACVAStockStory
2026-02-21 23:19:16 | PRICE    | NNVC   | $   1.02 | News: Feb 21  11:19 AM ET    | KW: none                           | NanoViricides CEO discusses progress of broad-spectrum antiviral candidate NV-38 | NanoViricides CEO discusses progress of broad-spectrum antiviral candidate NV-387 - ICYMINNVCProactive
2026-02-21 23:19:16 | PRICE    | BTG    | $   5.39 | News: Feb 21  11:19 AM ET    | KW: none                           | B2Gold (BTG) Climbs 5.27% on Return to Profitability | B2Gold (BTG) Climbs 5.27% on Return to ProfitabilityBTGInsider Monkey
2026-02-21 23:19:16 | PRICE    | OPEN   | $   5.00 | News: Feb 21  11:19 AM ET    | KW: none                           | Opendoor Technologies (OPEN) Climbs 7.5% on Upbeat Outlook | Opendoor Technologies (OPEN) Climbs 7.5% on Upbeat OutlookOPENInsider Monkey
2026-02-21 23:19:16 | PRICE    | NXDR   | $   1.67 | News: Feb 21  02:19 PM ET    | KW: none                           | AI isn't just 'another transition' for software: Nextdoor CEO | AI isn't just 'another transition' for software: Nextdoor CEONXDRYahoo Finance Video
2026-02-21 23:19:16 | PRICE    | OPAD   | $   0.82 | News: Feb 21  10:19 PM ET    | KW: none                           | Earnings To Watch: Offerpad (OPAD) Reports Q4 Results Tomorrow | Earnings To Watch: Offerpad (OPAD) Reports Q4 Results TomorrowOPADStockStory
2026-02-21 23:19:16 | PRICE    | MAX    | $   7.84 | News: Feb 21  10:19 PM ET    | KW: none                           | MediaAlpha (MAX) Q4 Earnings Report Preview: What To Look For | MediaAlpha (MAX) Q4 Earnings Report Preview: What To Look ForMAXStockStory
2026-02-21 23:19:16 | PRICE    | ACVA   | $   6.66 | News: Feb 21  10:19 PM ET    | KW: none                           | ACV Auctions (ACVA) Reports Earnings Tomorrow: What To Expect | ACV Auctions (ACVA) Reports Earnings Tomorrow: What To ExpectACVAStockStory
2026-02-21 23:19:50 | PRICE    | NNVC   | $   1.02 | News: Feb 21  11:19 AM ET    | KW: none                           | NanoViricides CEO discusses progress of broad-spectrum antiviral candidate NV-38 | NanoViricides CEO discusses progress of broad-spectrum antiviral candidate NV-387 - ICYMINNVCProactive
2026-02-21 23:19:50 | PRICE    | BTG    | $   5.39 | News: Feb 21  11:19 AM ET    | KW: none                           | B2Gold (BTG) Climbs 5.27% on Return to Profitability | B2Gold (BTG) Climbs 5.27% on Return to ProfitabilityBTGInsider Monkey
2026-02-21 23:19:50 | PRICE    | OPEN   | $   5.00 | News: Feb 21  11:19 AM ET    | KW: none                           | Opendoor Technologies (OPEN) Climbs 7.5% on Upbeat Outlook | Opendoor Technologies (OPEN) Climbs 7.5% on Upbeat OutlookOPENInsider Monkey
2026-02-21 23:19:50 | PRICE    | NXDR   | $   1.67 | News: Feb 21  02:19 PM ET    | KW: none                           | AI isn't just 'another transition' for software: Nextdoor CEO | AI isn't just 'another transition' for software: Nextdoor CEONXDRYahoo Finance Video
2026-02-21 23:19:50 | PRICE    | OPAD   | $   0.82 | News: Feb 21  10:19 PM ET    | KW: none                           | Earnings To Watch: Offerpad (OPAD) Reports Q4 Results Tomorrow | Earnings To Watch: Offerpad (OPAD) Reports Q4 Results TomorrowOPADStockStory
2026-02-21 23:19:50 | PRICE    | MAX    | $   7.84 | News: Feb 21  10:19 PM ET    | KW: none                           | MediaAlpha (MAX) Q4 Earnings Report Preview: What To Look For | MediaAlpha (MAX) Q4 Earnings Report Preview: What To Look ForMAXStockStory
2026-02-21 23:19:50 | PRICE    | ACVA   | $   6.66 | News: Feb 21  10:19 PM ET    | KW: none                           | ACV Auctions (ACVA) Reports Earnings Tomorrow: What To Expect | ACV Auctions (ACVA) Reports Earnings Tomorrow: What To ExpectACVAStockStory
2026-02-21 23:28:53 | PRICE    | NNVC   | $   1.02 | News: Feb 21  11:28 AM ET    | KW: none                           | NanoViricides CEO discusses progress of broad-spectrum antiviral candidate NV-38 | NanoViricides CEO discusses progress of broad-spectrum antiviral candidate NV-387 - ICYMINNVCProactive
2026-02-21 23:28:53 | PRICE    | OPEN   | $   5.00 | News: Feb 21  11:28 AM ET    | KW: none                           | Opendoor Technologies (OPEN) Climbs 7.5% on Upbeat Outlook | Opendoor Technologies (OPEN) Climbs 7.5% on Upbeat OutlookOPENInsider Monkey
2026-02-21 23:28:53 | PRICE    | NXDR   | $   1.67 | News: Feb 21  02:28 PM ET    | KW: none                           | AI isn't just 'another transition' for software: Nextdoor CEO | AI isn't just 'another transition' for software: Nextdoor CEONXDRYahoo Finance Video
2026-02-21 23:28:53 | WATCH    | WBD    | $  28.75 | News: Feb 21  06:28 PM ET    | KW: none                           | Netflix quietly pulls the plug on millions of devices | Netflix quietly pulls the plug on millions of devicesWBDNFLXTheStreet
2026-02-21 23:28:53 | WATCH    | NFLX   | $  78.67 | News: Feb 21  06:28 PM ET    | KW: none                           | Netflix quietly pulls the plug on millions of devices | Netflix quietly pulls the plug on millions of devicesWBDNFLXTheStreet
2026-02-21 23:28:53 | WATCH    | WBD    | $  28.75 | News: Feb 21  08:28 PM ET    | KW: none                           | Trump targets Netflix board amid $108B bidding war for Warner Bros. Discovery | Trump targets Netflix board amid $108B bidding war for Warner Bros. DiscoveryWBDNFLXPSKYInvesting.com
2026-02-21 23:28:53 | WATCH    | NFLX   | $  78.67 | News: Feb 21  08:28 PM ET    | KW: none                           | Trump targets Netflix board amid $108B bidding war for Warner Bros. Discovery | Trump targets Netflix board amid $108B bidding war for Warner Bros. DiscoveryWBDNFLXPSKYInvesting.com
2026-02-21 23:28:53 | WATCH    | PSKY   | $  10.71 | News: Feb 21  08:28 PM ET    | KW: none                           | Trump targets Netflix board amid $108B bidding war for Warner Bros. Discovery | Trump targets Netflix board amid $108B bidding war for Warner Bros. DiscoveryWBDNFLXPSKYInvesting.com
2026-02-21 23:28:53 | WATCH    | WBD    | $  28.75 | News: Feb 21  09:28 PM ET    | KW: none                           | Trump Demands Netflix Oust Susan Rice From Board | Trump Demands Netflix Oust Susan Rice From BoardWBDNFLXThe Wall Street Journal
2026-02-21 23:28:53 | WATCH    | NFLX   | $  78.67 | News: Feb 21  09:28 PM ET    | KW: none                           | Trump Demands Netflix Oust Susan Rice From Board | Trump Demands Netflix Oust Susan Rice From BoardWBDNFLXThe Wall Street Journal
2026-02-21 23:28:53 | PRICE    | OPAD   | $   0.82 | News: Feb 21  10:28 PM ET    | KW: none                           | Earnings To Watch: Offerpad (OPAD) Reports Q4 Results Tomorrow | Earnings To Watch: Offerpad (OPAD) Reports Q4 Results TomorrowOPADStockStory
2026-02-21 23:38:35 | PRICE    | NNVC   | $   1.02 | News: Feb 21  11:38 AM ET    | KW: none                           | NanoViricides CEO discusses progress of broad-spectrum antiviral candidate NV-38 | NanoViricides CEO discusses progress of broad-spectrum antiviral candidate NV-387 - ICYMINNVCProactive
2026-02-21 23:38:35 | PRICE    | OPEN   | $   5.00 | News: Feb 21  11:38 AM ET    | KW: none                           | Opendoor Technologies (OPEN) Climbs 7.5% on Upbeat Outlook | Opendoor Technologies (OPEN) Climbs 7.5% on Upbeat OutlookOPENInsider Monkey
2026-02-21 23:38:35 | PRICE    | NXDR   | $   1.67 | News: Feb 21  02:38 PM ET    | KW: none                           | AI isn't just 'another transition' for software: Nextdoor CEO | AI isn't just 'another transition' for software: Nextdoor CEONXDRYahoo Finance Video
2026-02-21 23:38:35 | WATCH    | WBD    | $  28.75 | News: Feb 21  06:38 PM ET    | KW: none                           | Netflix quietly pulls the plug on millions of devices | Netflix quietly pulls the plug on millions of devicesWBDNFLXTheStreet
2026-02-21 23:38:35 | WATCH    | NFLX   | $  78.67 | News: Feb 21  06:38 PM ET    | KW: none                           | Netflix quietly pulls the plug on millions of devices | Netflix quietly pulls the plug on millions of devicesWBDNFLXTheStreet
2026-02-21 23:38:35 | WATCH    | WBD    | $  28.75 | News: Feb 21  07:38 PM ET    | KW: none                           | Trump targets Netflix board amid $108B bidding war for Warner Bros. Discovery | Trump targets Netflix board amid $108B bidding war for Warner Bros. DiscoveryWBDNFLXPSKYInvesting.com
2026-02-21 23:38:35 | WATCH    | NFLX   | $  78.67 | News: Feb 21  07:38 PM ET    | KW: none                           | Trump targets Netflix board amid $108B bidding war for Warner Bros. Discovery | Trump targets Netflix board amid $108B bidding war for Warner Bros. DiscoveryWBDNFLXPSKYInvesting.com
2026-02-21 23:38:35 | WATCH    | PSKY   | $  10.71 | News: Feb 21  07:38 PM ET    | KW: none                           | Trump targets Netflix board amid $108B bidding war for Warner Bros. Discovery | Trump targets Netflix board amid $108B bidding war for Warner Bros. DiscoveryWBDNFLXPSKYInvesting.com
2026-02-21 23:38:35 | WATCH    | WBD    | $  28.75 | News: Feb 21  09:38 PM ET    | KW: none                           | Trump Demands Netflix Oust Susan Rice From Board | Trump Demands Netflix Oust Susan Rice From BoardWBDNFLXThe Wall Street Journal
2026-02-21 23:38:35 | WATCH    | NFLX   | $  78.67 | News: Feb 21  09:38 PM ET    | KW: none                           | Trump Demands Netflix Oust Susan Rice From Board | Trump Demands Netflix Oust Susan Rice From BoardWBDNFLXThe Wall Street Journal
2026-02-21 23:38:35 | PRICE    | OPAD   | $   0.82 | News: Feb 21  10:38 PM ET    | KW: none                           | Earnings To Watch: Offerpad (OPAD) Reports Q4 Results Tomorrow | Earnings To Watch: Offerpad (OPAD) Reports Q4 Results TomorrowOPADStockStory
2026-02-21 23:40:22 | PRICE    | NNVC   | $   1.02 | News: Feb 21  11:40 AM ET    | KW: none                           | NanoViricides CEO discusses progress of broad-spectrum antiviral candidate NV-38 | NanoViricides CEO discusses progress of broad-spectrum antiviral candidate NV-387 - ICYMINNVCProactive
2026-02-21 23:40:22 | PRICE    | OPEN   | $   5.00 | News: Feb 21  11:40 AM ET    | KW: none                           | Opendoor Technologies (OPEN) Climbs 7.5% on Upbeat Outlook | Opendoor Technologies (OPEN) Climbs 7.5% on Upbeat OutlookOPENInsider Monkey
2026-02-21 23:40:22 | PRICE    | NXDR   | $   1.67 | News: Feb 21  02:40 PM ET    | KW: none                           | AI isn't just 'another transition' for software: Nextdoor CEO | AI isn't just 'another transition' for software: Nextdoor CEONXDRYahoo Finance Video
2026-02-21 23:40:22 | WATCH    | WBD    | $  28.75 | News: Feb 21  05:40 PM ET    | KW: none                           | Netflix quietly pulls the plug on millions of devices | Netflix quietly pulls the plug on millions of devicesWBDNFLXTheStreet
2026-02-21 23:40:22 | WATCH    | NFLX   | $  78.67 | News: Feb 21  05:40 PM ET    | KW: none                           | Netflix quietly pulls the plug on millions of devices | Netflix quietly pulls the plug on millions of devicesWBDNFLXTheStreet
2026-02-21 23:40:22 | WATCH    | WBD    | $  28.75 | News: Feb 21  07:40 PM ET    | KW: none                           | Trump targets Netflix board amid $108B bidding war for Warner Bros. Discovery | Trump targets Netflix board amid $108B bidding war for Warner Bros. DiscoveryWBDNFLXPSKYInvesting.com
2026-02-21 23:40:22 | WATCH    | NFLX   | $  78.67 | News: Feb 21  07:40 PM ET    | KW: none                           | Trump targets Netflix board amid $108B bidding war for Warner Bros. Discovery | Trump targets Netflix board amid $108B bidding war for Warner Bros. DiscoveryWBDNFLXPSKYInvesting.com
2026-02-21 23:40:22 | WATCH    | PSKY   | $  10.71 | News: Feb 21  07:40 PM ET    | KW: none                           | Trump targets Netflix board amid $108B bidding war for Warner Bros. Discovery | Trump targets Netflix board amid $108B bidding war for Warner Bros. DiscoveryWBDNFLXPSKYInvesting.com
2026-02-21 23:40:22 | WATCH    | WBD    | $  28.75 | News: Feb 21  09:40 PM ET    | KW: none                           | Trump Demands Netflix Oust Susan Rice From Board | Trump Demands Netflix Oust Susan Rice From BoardWBDNFLXThe Wall Street Journal
2026-02-21 23:40:22 | WATCH    | NFLX   | $  78.67 | News: Feb 21  09:40 PM ET    | KW: none                           | Trump Demands Netflix Oust Susan Rice From Board | Trump Demands Netflix Oust Susan Rice From BoardWBDNFLXThe Wall Street Journal
2026-02-21 23:40:22 | PRICE    | OPAD   | $   0.82 | News: Feb 21  10:40 PM ET    | KW: none                           | Earnings To Watch: Offerpad (OPAD) Reports Q4 Results Tomorrow | Earnings To Watch: Offerpad (OPAD) Reports Q4 Results TomorrowOPADStockStory
2026-02-21 23:48:44 | PRICE    | NNVC   | $   1.02 | News: Feb 21  11:48 AM ET    | KW: none                           | NanoViricides CEO discusses progress of broad-spectrum antiviral candidate NV-38 | NanoViricides CEO discusses progress of broad-spectrum antiviral candidate NV-387 - ICYMINNVCProactive
2026-02-21 23:48:44 | PRICE    | OPEN   | $   5.00 | News: Feb 21  11:48 AM ET    | KW: none                           | Opendoor Technologies (OPEN) Climbs 7.5% on Upbeat Outlook | Opendoor Technologies (OPEN) Climbs 7.5% on Upbeat OutlookOPENInsider Monkey
2026-02-21 23:48:44 | KEYWORD  | JNJ    | $ 242.49 | News: Feb 21  11:48 AM ET    | KW: breakthrough                   | FDA Grants Breakthrough Status To Johnson & Johnson's Cancer Drug For Advanced H | FDA Grants Breakthrough Status To Johnson & Johnson's Cancer Drug For Advanced Head and Neck CancerJNJBenzinga
2026-02-21 23:48:44 | KEYWORD  | LLY    | $1009.52 | News: Feb 21  12:48 PM ET    | KW: breakthrough                   | Eli Lilly's Landmark Trial Shows Major Psoriasis-Obesity Breakthrough With Taltz | Eli Lilly's Landmark Trial Shows Major Psoriasis-Obesity Breakthrough With Taltz-Zepbound ComboLLYBenzinga
2026-02-21 23:48:44 | KEYWORD  | LMT    | $ 658.26 | News: Feb 21  01:48 PM ET    | KW: partners                       | Lockheed Martin Partners With Australia To Transform C-130J Aircrew Training | Lockheed Martin Partners With Australia To Transform C-130J Aircrew TrainingLMTBenzinga
2026-02-21 23:48:44 | PRICE    | NXDR   | $   1.67 | News: Feb 21  02:48 PM ET    | KW: none                           | AI isn't just 'another transition' for software: Nextdoor CEO | AI isn't just 'another transition' for software: Nextdoor CEONXDRYahoo Finance Video
2026-02-21 23:48:44 | KEYWORD  | HON    | $ 243.97 | News: Feb 21  04:48 PM ET    | KW: deal                           | Honeywell may walk away from Johnson Matthey catalyst deal, Bloomberg reports | Honeywell may walk away from Johnson Matthey catalyst deal, Bloomberg reportsHONInvesting.com
2026-02-21 23:48:44 | WATCH    | WBD    | $  28.75 | News: Feb 21  05:48 PM ET    | KW: none                           | Netflix quietly pulls the plug on millions of devices | Netflix quietly pulls the plug on millions of devicesWBDNFLXTheStreet
2026-02-21 23:48:44 | WATCH    | NFLX   | $  78.67 | News: Feb 21  05:48 PM ET    | KW: none                           | Netflix quietly pulls the plug on millions of devices | Netflix quietly pulls the plug on millions of devicesWBDNFLXTheStreet
2026-02-21 23:48:44 | WATCH    | WBD    | $  28.75 | News: Feb 21  07:48 PM ET    | KW: none                           | Trump targets Netflix board amid $108B bidding war for Warner Bros. Discovery | Trump targets Netflix board amid $108B bidding war for Warner Bros. DiscoveryWBDNFLXPSKYInvesting.com
2026-02-21 23:48:44 | WATCH    | NFLX   | $  78.67 | News: Feb 21  07:48 PM ET    | KW: none                           | Trump targets Netflix board amid $108B bidding war for Warner Bros. Discovery | Trump targets Netflix board amid $108B bidding war for Warner Bros. DiscoveryWBDNFLXPSKYInvesting.com
2026-02-21 23:48:44 | WATCH    | PSKY   | $  10.71 | News: Feb 21  07:48 PM ET    | KW: none                           | Trump targets Netflix board amid $108B bidding war for Warner Bros. Discovery | Trump targets Netflix board amid $108B bidding war for Warner Bros. DiscoveryWBDNFLXPSKYInvesting.com
2026-02-21 23:48:44 | WATCH    | WBD    | $  28.75 | News: Feb 21  09:48 PM ET    | KW: none                           | Trump Demands Netflix Oust Susan Rice From Board | Trump Demands Netflix Oust Susan Rice From BoardWBDNFLXThe Wall Street Journal
2026-02-21 23:48:44 | WATCH    | NFLX   | $  78.67 | News: Feb 21  09:48 PM ET    | KW: none                           | Trump Demands Netflix Oust Susan Rice From Board | Trump Demands Netflix Oust Susan Rice From BoardWBDNFLXThe Wall Street Journal
2026-02-21 23:48:44 | PRICE    | OPAD   | $   0.82 | News: Feb 21  10:48 PM ET    | KW: none                           | Earnings To Watch: Offerpad (OPAD) Reports Q4 Results Tomorrow | Earnings To Watch: Offerpad (OPAD) Reports Q4 Results TomorrowOPADStockStory
2026-02-21 23:48:44 | WATCH    | TNC    | $  83.37 | News: Feb 21  10:48 PM ET    | KW: none                           | Tennant (TNC) Reports Earnings Tomorrow: What To Expect | Tennant (TNC) Reports Earnings Tomorrow: What To ExpectTNCStockStory
2026-02-21 23:49:07 | WATCH    | TNC    | $  83.37 | News: Feb 21  10:49 PM ET    | KW: none                           | Tennant (TNC) Reports Earnings Tomorrow: What To Expect | Tennant (TNC) Reports Earnings Tomorrow: What To ExpectTNCStockStory
2026-02-21 23:52:31 | PRICE    | NNVC   | $   1.02 | News: Feb 21  11:52 AM ET    | KW: none                           | NanoViricides CEO discusses progress of broad-spectrum antiviral candidate NV-38 | NanoViricides CEO discusses progress of broad-spectrum antiviral candidate NV-387 - ICYMINNVCProactive
2026-02-21 23:52:31 | PRICE    | OPEN   | $   5.00 | News: Feb 21  11:52 AM ET    | KW: none                           | Opendoor Technologies (OPEN) Climbs 7.5% on Upbeat Outlook | Opendoor Technologies (OPEN) Climbs 7.5% on Upbeat OutlookOPENInsider Monkey
2026-02-21 23:52:31 | KEYWORD  | JNJ    | $ 242.49 | News: Feb 21  11:52 AM ET    | KW: breakthrough                   | FDA Grants Breakthrough Status To Johnson & Johnson's Cancer Drug For Advanced H | FDA Grants Breakthrough Status To Johnson & Johnson's Cancer Drug For Advanced Head and Neck CancerJNJBenzinga
2026-02-21 23:52:31 | KEYWORD  | LLY    | $1009.52 | News: Feb 21  12:52 PM ET    | KW: breakthrough                   | Eli Lilly's Landmark Trial Shows Major Psoriasis-Obesity Breakthrough With Taltz | Eli Lilly's Landmark Trial Shows Major Psoriasis-Obesity Breakthrough With Taltz-Zepbound ComboLLYBenzinga
2026-02-21 23:52:31 | KEYWORD  | LMT    | $ 658.26 | News: Feb 21  01:52 PM ET    | KW: partners                       | Lockheed Martin Partners With Australia To Transform C-130J Aircrew Training | Lockheed Martin Partners With Australia To Transform C-130J Aircrew TrainingLMTBenzinga
2026-02-21 23:52:31 | PRICE    | NXDR   | $   1.67 | News: Feb 21  02:52 PM ET    | KW: none                           | AI isn't just 'another transition' for software: Nextdoor CEO | AI isn't just 'another transition' for software: Nextdoor CEONXDRYahoo Finance Video
2026-02-21 23:52:31 | KEYWORD  | HON    | $ 243.97 | News: Feb 21  04:52 PM ET    | KW: deal                           | Honeywell may walk away from Johnson Matthey catalyst deal, Bloomberg reports | Honeywell may walk away from Johnson Matthey catalyst deal, Bloomberg reportsHONInvesting.com
2026-02-21 23:52:31 | WATCH    | WBD    | $  28.75 | News: Feb 21  05:52 PM ET    | KW: none                           | Netflix quietly pulls the plug on millions of devices | Netflix quietly pulls the plug on millions of devicesWBDNFLXTheStreet
2026-02-21 23:52:31 | WATCH    | NFLX   | $  78.67 | News: Feb 21  05:52 PM ET    | KW: none                           | Netflix quietly pulls the plug on millions of devices | Netflix quietly pulls the plug on millions of devicesWBDNFLXTheStreet
2026-02-21 23:52:31 | WATCH    | WBD    | $  28.75 | News: Feb 21  07:52 PM ET    | KW: none                           | Trump targets Netflix board amid $108B bidding war for Warner Bros. Discovery | Trump targets Netflix board amid $108B bidding war for Warner Bros. DiscoveryWBDNFLXPSKYInvesting.com
2026-02-21 23:52:31 | WATCH    | NFLX   | $  78.67 | News: Feb 21  07:52 PM ET    | KW: none                           | Trump targets Netflix board amid $108B bidding war for Warner Bros. Discovery | Trump targets Netflix board amid $108B bidding war for Warner Bros. DiscoveryWBDNFLXPSKYInvesting.com
2026-02-21 23:52:31 | WATCH    | PSKY   | $  10.71 | News: Feb 21  07:52 PM ET    | KW: none                           | Trump targets Netflix board amid $108B bidding war for Warner Bros. Discovery | Trump targets Netflix board amid $108B bidding war for Warner Bros. DiscoveryWBDNFLXPSKYInvesting.com
2026-02-21 23:52:31 | WATCH    | WBD    | $  28.75 | News: Feb 21  09:52 PM ET    | KW: none                           | Trump Demands Netflix Oust Susan Rice From Board | Trump Demands Netflix Oust Susan Rice From BoardWBDNFLXThe Wall Street Journal
2026-02-21 23:52:31 | WATCH    | NFLX   | $  78.67 | News: Feb 21  09:52 PM ET    | KW: none                           | Trump Demands Netflix Oust Susan Rice From Board | Trump Demands Netflix Oust Susan Rice From BoardWBDNFLXThe Wall Street Journal
2026-02-21 23:52:31 | PRICE    | OPAD   | $   0.82 | News: Feb 21  10:52 PM ET    | KW: none                           | Earnings To Watch: Offerpad (OPAD) Reports Q4 Results Tomorrow | Earnings To Watch: Offerpad (OPAD) Reports Q4 Results TomorrowOPADStockStory
